driverId,races,podiums,podium_rate,overperformer_delta,qual_delta_avg,podium_rate_scaled,overperformer_scaled,teammate_scaled,composite_score
albon,25,0,0.0,1.1542857142857144,2.347826086956522,0.0,0.9999999999999999,0.8470630835682694,0.6156876945227564
bottas,52,18,0.34615384615384615,0.2612179487179488,2.090909090909091,1.0,0.5151748225922832,0.8057974149586284,0.7736574125169705
gasly,29,0,0.0,0.7988505747126439,2.914285714285714,0.0,0.8070427449691949,0.9380470808192403,0.581696608596145
grosjean,29,2,0.06896551724137931,0.20821018062397378,0.6666666666666666,0.19923371647509577,0.4863981702922081,0.5770374776918501,0.42088978815305134
heidfeld,26,5,0.19230769230769232,0.23168498168498156,-2.5,0.5555555555555556,0.4991420795763803,0.06841165972635338,0.3743697649527631
hulkenberg,49,0,0.0,0.14456592160673792,1.180327868852459,0.0,0.45184722090328105,0.6595410616241308,0.37046276084247065
kevin_magnussen,35,1,0.02857142857142857,0.7827664399092971,0.358974358974359,0.08253968253968254,0.798311052022552,0.5276163455818423,0.46948902671469234
kubica,20,3,0.15,-0.5983333333333333,1.8333333333333333,0.4333333333333333,0.04854494423517247,0.7644259369422962,0.41543473817026727
kvyat,21,1,0.047619047619047616,-0.6877551020408162,-2.925925925925926,0.13756613756613756,0.0,0.0,0.04585537918871252
leclerc,35,11,0.3142857142857143,0.19960317460317453,1.76,0.9079365079365079,0.4817256321244797,0.752647233789411,0.7141031246167996
massa,53,10,0.18867924528301888,-0.14907157831686152,0.0,0.5450733752620546,0.2924384296750917,0.46995835812016656,0.43582338768577095
ocon,35,0,0.0,-0.23741496598639436,0.03333333333333333,0.0,0.24447891277051484,0.47531231409875074,0.23993040895642184
perez,62,13,0.20967741935483872,0.0473566308243726,0.25,0.6057347670250897,0.3990746167781326,0.5101130279595478,0.5049741372542568
ricciardo,44,3,0.06818181818181818,0.15308441558441555,2.878787878787879,0.19696969696969696,0.45647170799508474,0.9323454653615273,0.528595623442103
russell,31,4,0.12903225806451613,0.4383000512032772,3.3,0.37275985663082434,0.6113084700749011,1.0,0.6613561089019084
sainz,45,7,0.15555555555555556,-0.11901234567901234,-0.7352941176470589,0.44938271604938274,0.30875686972887645,0.35185638800433916,0.3699986579275327
stroll,38,0,0.0,0.0565476190476189,-2.3636363636363638,0.0,0.40406418494718943,0.09031420691147046,0.16479279728621996
trulli,22,5,0.22727272727272727,0.6712662337662337,2.0,0.6565656565656566,0.7377802509920833,0.7911957168352171,0.7285138747976524
tsunoda,21,0,0.0,0.010298563869992469,-1.1818181818181819,0.0,0.3789566765968272,0.2801362825158185,0.2196976530375486
